# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = GaussianStan_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = GaussianStan.data.json
# init = 2 (Default)
# random
#   seed = 2432242613 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
# Adaptation terminated
# Step size = 0.44568
# Diagonal elements of inverse mass matrix:
# 0.254891, 0.38534
-3.53584,0.614865,0.44568,3,15,0,3.55636,3.30611,1.85736
-2.18919,0.934876,0.44568,3,11,0,4.18108,2.65146,1.45623
-4.98407,0.999735,0.44568,3,15,0,5.43833,3.75828,3.6814
-5.60783,0.991633,0.44568,2,3,0,5.68517,3.67131,4.67216
-3.12415,0.97142,0.44568,4,15,0,6.35334,0.487355,1.28536
-1.06487,0.998985,0.44568,3,7,0,3.50848,2.35488,0.767657
-1.6624,1,0.44568,3,7,0,1.9155,2.31826,1.40491
-0.866635,0.987495,0.44568,3,7,0,2.05573,1.72949,1.16712
0.178251,0.964076,0.44568,2,5,0,0.964947,1.7722,0.364852
-0.338334,0.91165,0.44568,3,7,0,0.504772,1.75456,0.939906
-0.288178,1,0.44568,2,3,0,0.366266,1.72082,0.916587
0.451227,0.990956,0.44568,3,7,0,1.02221,1.80124,0.427397
-0.719597,0.345373,0.44568,2,3,0,3.30463,1.7299,1.10149
-1.98151,0.971251,0.44568,3,7,0,2.58269,2.62997,1.25038
-2.42711,0.971532,0.44568,2,3,0,2.55775,2.7987,1.12623
-2.98383,0.96994,0.44568,3,7,0,3.30885,2.44793,2.28278
-1.37309,0.994025,0.44568,3,7,0,3.40393,2.43686,0.796893
-1.16374,0.958207,0.44568,2,7,0,1.78674,1.93949,1.29133
0.241802,0.881819,0.44568,3,7,0,1.76812,1.63587,0.425872
0.153582,0.757912,0.44568,2,3,0,0.867881,1.94593,0.677977
0.388837,0.799101,0.44568,2,3,0,2.98797,1.90863,0.500826
0.162225,1,0.44568,2,3,0,2.31009,1.95274,0.440933
0.162225,0.0139869,0.44568,1,1,0,2.9407,1.95274,0.440933
0.162225,0.678873,0.44568,2,7,0,1.36876,1.95274,0.440933
0.39115,1,0.44568,2,3,0,-0.215587,1.87578,0.444697
0.316211,0.927992,0.44568,2,3,0,0.0254077,1.76028,0.38853
-1.4271,0.728272,0.44568,2,3,0,1.48791,2.05057,0.335634
-0.361781,1,0.44568,2,3,0,1.91649,1.43061,0.516636
0.121985,1,0.44568,2,3,0,0.51451,1.85401,0.738849
0.345259,0.997153,0.44568,2,7,0,-0.096699,1.72341,0.401891
0.0286475,0.915735,0.44568,1,1,0,-0.0201044,1.67958,0.363196
0.0286475,0.220584,0.44568,2,3,0,1.75915,1.67958,0.363196
-2.94903,0.402597,0.44568,1,1,0,2.9535,1.93936,0.244669
-1.37473,1,0.44568,1,1,0,2.76531,1.87048,0.273707
-1.47746,1,0.44568,2,3,0,1.95159,1.73263,0.262974
-0.909428,0.858514,0.44568,3,7,0,1.82493,1.6366,0.304483
-2.70703,0.683468,0.44568,2,3,0,3.06589,1.97974,0.261225
-0.353386,1,0.44568,1,1,0,1.94196,1.64822,0.336448
0.253109,0.988339,0.44568,2,7,0,0.890594,1.67601,0.670671
-0.965973,0.945563,0.44568,2,3,0,1.00583,1.84996,1.21022
-1.19392,0.996239,0.44568,3,7,0,1.38549,1.70694,1.31912
-1.61568,0.964574,0.44568,2,7,0,2.74303,2.4473,1.24333
0.323381,0.99793,0.44568,2,7,0,1.68371,1.65478,0.618633
0.209372,0.995588,0.44568,2,3,0,-0.163201,1.63952,0.673755
-2.58719,0.790718,0.44568,3,7,0,3.26876,0.858837,0.80841
-2.2374,0.935185,0.44568,2,3,0,3.6984,0.807247,1.16785
-2.12259,0.978413,0.44568,3,7,0,2.66255,1.25139,1.71628
-1.95514,0.998675,0.44568,2,3,0,2.25429,1.33448,1.64485
-2.776,0.994875,0.44568,3,7,0,2.95317,0.67405,1.0607
-2.5305,0.909956,0.44568,3,7,0,3.96807,2.70088,0.839224
-0.468305,0.978376,0.44568,2,5,0,2.54102,2.01083,0.942026
-0.532485,0.999926,0.44568,1,1,0,0.555083,2.05185,0.950223
-0.357129,0.969701,0.44568,2,7,0,0.936174,2.14385,0.74188
0.320366,0.925037,0.44568,1,3,0,1.19938,1.77953,0.659128
0.344031,1,0.44568,1,1,0,-0.31562,1.78755,0.647061
0.49749,1,0.44568,2,3,0,-0.354736,1.75817,0.550465
0.36548,0.987136,0.44568,2,3,0,-0.357209,1.63653,0.561177
0.409722,1,0.44568,1,1,0,-0.367406,1.66549,0.562559
0.484092,0.988444,0.44568,1,3,0,-0.161958,1.7218,0.45685
0.313919,0.883315,0.44568,2,3,0,0.270544,1.66139,0.426198
0.407507,0.820535,0.44568,2,3,0,0.470311,1.87727,0.57325
-0.953423,0.868057,0.44568,2,3,0,1.18989,2.28855,0.62949
-0.374064,0.894586,0.44568,2,3,0,1.60273,2.06103,0.864136
-0.731497,0.962405,0.44568,3,7,0,1.24867,1.30812,0.858462
-2.2056,0.991539,0.44568,2,7,0,2.58977,0.827848,1.29106
0.0995974,0.381181,0.44568,3,7,0,5.57546,1.75829,0.35506
0.488241,0.873586,0.44568,2,3,0,0.923245,1.80731,0.554311
0.379601,0.975834,0.44568,1,3,0,-0.261471,1.68108,0.6016
0.194422,0.934287,0.44568,1,3,0,0.392611,1.9838,0.592127
0.174513,0.997175,0.44568,3,7,0,-0.152587,1.57791,0.471132
0.504607,1,0.44568,2,3,0,-0.23712,1.82535,0.522253
-0.68679,0.836943,0.44568,2,3,0,0.806957,1.35526,0.543206
0.177419,1,0.44568,2,3,0,0.634575,1.77707,0.724744
-0.0833099,0.982656,0.44568,2,3,0,0.25754,1.53605,0.749865
-1.00386,0.931108,0.44568,3,7,0,1.5326,2.00513,1.19706
-1.96885,0.954113,0.44568,3,7,0,2.66259,1.44893,1.69192
-0.798056,0.999143,0.44568,3,7,0,1.82962,2.02645,0.36276
-0.456318,1,0.44568,2,3,0,1.00388,1.97917,0.364093
-0.477263,0.951366,0.44568,2,3,0,0.855498,1.99687,0.372822
0.416542,1,0.44568,2,3,0,0.856753,1.69368,0.58457
