# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = IQStan_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = IQStan.data.json
# init = 2 (Default)
# random
#   seed = 3026686953 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,sigma
# Adaptation terminated
# Step size = 0.451838
# Diagonal elements of inverse mass matrix:
# 0.00416806, 0.00317954, 0.00302106, 0.147874
-7.43851,0.951088,0.451838,2,7,0,8.27981,104.225,113.659,155.756,6.84509
-5.65707,1,0.451838,2,3,0,7.38896,100.254,112.939,154.755,7.34746
-3.5791,0.997805,0.451838,2,7,0,6.84674,96.3205,109.269,153.028,4.15365
-10.3673,0.582082,0.451838,3,7,0,11.0668,96.0477,102.738,154.365,16.2538
-7.17454,1,0.451838,3,7,0,10.8019,94.8142,113.282,152.851,2.95861
-3.32883,0.987604,0.451838,2,3,0,7.99648,93.3279,110.78,155.311,4.28653
-3.21387,0.943698,0.451838,3,7,0,4.04238,95.7498,109.396,154.247,4.02458
-3.76112,0.829445,0.451838,2,7,0,5.41858,94.0629,108.605,152.755,5.29517
-7.94385,0.809119,0.451838,3,7,0,8.95207,100.111,104.064,152.106,10.7784
-5.20412,0.972994,0.451838,2,7,0,8.15643,94.716,105.341,153.198,6.96095
-4.45832,0.969492,0.451838,3,7,0,7.24738,94.4802,113.513,156.276,3.95463
-3.54716,0.922283,0.451838,2,3,0,5.28502,93.8483,111.547,156.688,4.41432
-3.51313,0.957908,0.451838,3,7,0,4.51481,95.6167,108.556,153.104,4.37728
-4.44777,0.700638,0.451838,3,7,0,7.02522,94.383,111.239,158.165,6.39236
-3.8041,0.999964,0.451838,3,7,0,4.81561,96.8789,109.366,157.554,4.9255
-4.61235,0.943071,0.451838,2,3,0,4.87416,98.8991,108.613,157.406,4.75488
-14.4332,0.585947,0.451838,3,11,0,15.3483,110.811,118.614,166.909,24.9157
-11.3175,0.98936,0.451838,4,15,0,15.8207,92.8038,117.76,170.869,9.94177
-6.34151,0.904697,0.451838,2,7,0,11.8145,93.1597,113.315,160.181,8.4394
-9.73724,0.90093,0.451838,3,7,0,10.8798,82.362,109.09,149.945,7.69601
-8.5427,0.935962,0.451838,3,7,0,13.4545,104.033,110.888,158.592,5.18695
-5.37989,0.655359,0.451838,3,7,0,12.8788,89.9469,109.58,152.672,6.90505
-8.00799,0.967479,0.451838,3,7,0,8.39884,89.5248,104.178,147.581,8.1664
-9.45977,0.936697,0.451838,4,15,0,12.665,101.841,115.172,165.671,10.9711
-9.21043,0.979361,0.451838,3,7,0,9.84737,101.238,115.717,165.561,9.54697
-11.0577,0.958988,0.451838,3,7,0,12.2918,108.752,116.245,163.208,13.8235
-12.0691,0.861453,0.451838,4,15,0,15.2328,112.094,115.738,162.521,10.2377
-9.25726,0.959906,0.451838,4,15,0,13.5585,85.3758,109.153,150.029,12.4356
-6.16329,0.979456,0.451838,3,7,0,13.0718,101.624,110.663,158.472,5.59013
-7.86178,0.813491,0.451838,3,7,0,9.03286,88.68,104.821,150.278,9.80572
-9.78769,0.941653,0.451838,3,7,0,11.1669,86.8627,102.82,159.542,13.2854
-9.92935,0.996054,0.451838,3,15,0,11.3615,87.5944,104.897,161.548,13.9949
-11.4212,0.998368,0.451838,2,7,0,13.3727,84.4285,97.9039,163.806,11.7962
